Name,Comment,Time,Likes,Reply Count
Programming with Mosh,"🔥 Want to master MySQL? Get the full MySQL course: http://bit.ly/2uAoPM3
👍 Subscribe for more SQL tutorials like this: https://goo.gl/6PYaGF",2022-03-07T23:14:50Z,33,13
blessy pratap,eeb,2022-05-03T07:44:36Z,0,
may contain nuts,"If your schemas are stuck on ""Fetching"", exit and re-start the MySQL workbench application! Should work then!",2022-05-03T03:51:55Z,0,0
Logamou Seknewna Lema,You are a Chef! In 3 hours exactly I learned too many things.,2022-05-02T21:59:17Z,0,0
TP Cabalit,"Thank you Mosh, I really appreciate this resource. Easy understand, concise and I can see that a lot of care has been put into the layout of the lessons. God Bless you more Sir.",2022-05-02T11:25:42Z,0,0
Guna sheelan,unknown file encoding problem character set encoding name,2022-05-02T05:41:03Z,0,0
Uquwa Gebrehiwot,How can add if failed some of the list,2022-05-01T19:38:01Z,0,0
Corrupted Cardinal,"3:06:31 For this exercise, shouldn't we also check if the comment is NULL. If there was a comment there previously, then wouldn't it get overwritten to 'Gold customer'?",2022-04-30T00:17:18Z,0,0
Rocky P,What a great time to be alive where you can learn coding from great teachers on YouTube,2022-04-29T11:01:13Z,1,0
Rocky P,"Brilliant presentation, great music too and easy to follow",2022-04-29T11:00:15Z,1,0
Veneya Miranda,Thank you very much sir. You the BEST!!!,2022-04-29T02:00:23Z,0,0
DANIEL FARID BIN FAIZAL SGM,i'm new to mysql. hope that I could learn something and develop something simple at the end of this course.,2022-04-28T08:56:26Z,0,0
Wisdom Adanfopah,Where are the zip files he mentioned,2022-04-28T01:26:16Z,0,0
Celsius273,May I know where the link for the zip file is? I can't seem to find it. Thank you!,2022-04-27T12:48:13Z,1,0
Celsius273,May I know where the link for the zip file is? I can't seem to find it. Thank you!,2022-04-27T09:12:26Z,1,0
Viral Tube,thank you  sir good tutorial ❤️,2022-04-27T03:31:21Z,0,0
Madhav Maru,Great Tutorial!,2022-04-26T18:27:50Z,0,0
Mikail Yagiz,"Someone help me out here:   At the beginning, I notice I have not got the “schema tap” Mosh must have skipped that part.",2022-04-26T15:17:29Z,0,1
cuz_im_likewhat,it's available at the bottom,2022-04-27T13:17:43Z,0,
Prince Godoy,Great tutorial.....Hello guys can I ask for the cheat sheet please.... the link isn't working anymore :(,2022-04-26T15:02:33Z,0,0
Eleanor T,"Hi, I don't know why, but when I tried to run the installation program, it always showed that the samples and examples part needed to be configured.",2022-04-26T05:11:39Z,0,0
Andrea Doss,"Hello, I am so excited to start your course. I am having issues downloading MySQL web community file. I am choosing FULL for the setup type. The 2nd option check requirements. I already downloaded numerous things I thought were correct. So when I check it, it says it failed and that I need 2015, 2017, and 2019 need to be installed. Do you have any recommendations?",2022-04-25T20:24:06Z,0,0
Tusnia Towshi,You are an amazing teacher! Love from Bangladesh.,2022-04-25T15:23:00Z,0,0
S.M.H.M,"You have to announce you are an Iranian, so that our prestige boosts internationally. Your accent is  key into recognising your Persianism right of the bat (only we find it out and others don't). lolz",2022-04-25T09:56:42Z,0,0
ED,Explains more than their documentation,2022-04-24T16:24:47Z,0,0
Fuck off google,The cheat sheet link is no longer valid. Any chance you could please provide an updated link?,2022-04-24T13:40:34Z,2,0
Kingdom Okozu,"Mosh, Im having a hard time installing MySQL. Im using a MacBook Pro. I keep getting a message saying ""MySQL 8.0.28-community can't be installed this computer"". WHAT DO I PLEASE?",2022-04-24T12:30:20Z,1,5
Fev B,@Kingdom Okozu You’re welcome! Best of luck on your journey :),2022-04-30T02:04:24Z,1,
Gourav Chouhan,"That's not trick, it's deMorgans law",2022-04-24T06:37:20Z,0,0
qinyuan li,could anyone help? i couldn't find the zip file that mentioned in the tutorial,2022-04-24T05:02:59Z,0,0
Roy LUO,"For beginners like me.
I had some issues creating the databases with the script. 
Please replace utf8 with UTF8MB4, and do not specify the width of an integer value, such as replace int(11) with int & replace smallint(6) with smallint, if you have any 1681 warnings.",2022-04-24T01:37:29Z,0,0
Kira Rejina,"Попасть в IT, стать мастером маркетинга или освоить другую профессию — всё это вы сможете в Skillbox. Сотни курсов по самым разным направлениям. Скидка тут 👉 https://go.redav.online/20f9a580fd704cb0",2022-04-22T14:18:23Z,0,0
Isant sharma,can we not open utf-8 for mac in windows mysql?,2022-04-22T10:07:49Z,0,0
